elavskode,matrnr,esr_ejdnr
20151,8nø,1510149483
20151,8ki,1510139981
20151,8ig,1510139205
20151,8nt,1510149476
20151,8nn,1510149470
20151,8ns,1510149475
20151,8nr,1510149474
20151,8no,1510149471
20151,8nq,1510149473
20151,8iu,1510139825
20151,8np,1510149472
20151,8kk,1510140017
20151,8im,1510138969
20151,8ih,1510139205
20151,8kl,1510140025
20151,8ic,1510139205
20151,8kt,1510030807
20151,8km,1510140033
20151,8of,1510030807
20151,8oe,1510030807
20151,26bh,1510014704
20151,14an,1510031951
20151,14s,1510032001
20151,14t,1510031927
20151,14pt,1510086128
20151,14al,1510032036
20151,14u,1510031897
20151,14v,1510031870
20151,14r,1510032060
20151,14q,1510032087
20151,14ac,1510031889
20151,14ab,1510031900
20151,14bt,1510031919
20151,14bg,1510031846
20151,14p,1510032109
20151,14au,1510031943
20151,14bn,1510031811
20151,14ad,1510031862
20151,14ak,1510032117
20151,14bu,1510031838
20151,14ae,1510031935
20151,14ry,1510001173
20151,14bk,1510032125
20151,14ct,1510037275
20151,14bf,1510022677
20151,14ai,1510032133
20151,14bi,1510037224
20151,14bl,1510032141
20151,14pg,1510001173
20151,14py,1510087442
20151,127,1510002129
20151,8li,1510135773
20151,8lk,1510135781
20151,8ll,1510135803
20151,8lm,1510135811
20151,8ln,1510135838
20151,8lo,1510135846
20151,8lp,1510135854
20151,8lt,1510135897
20151,8lq,1510135862
20151,8hb,1510135838
20151,8ls,1510135889
20151,8lr,1510135870
20151,8hc,1510135846
20151,8gg,1510135439
20151,8hd,1510135854
20151,8he,1510135862
20151,8hf,1510135870
20151,8hg,1510135889
20151,8hh,1510135897
20151,8kø,1510135390
20151,7000fm,0
20151,8gf,1510135420
20151,8gi,1510135552
20151,8gc,1510135390
20151,8hq,1510136818
20151,8hx,1510136842
20151,8ot,1510149694
20151,8ol,1510149696
20151,8oi,1510149695
20151,8om,1510149697
20151,8c,1510030807
20151,12an,1510007163
20151,12ag,1510007147
20151,12q,1510006981
20151,12af,1510007120
20151,12p,1510006965
20151,12ae,1510007104
20151,12ac,1510007066
20151,7000dp,0
20151,12ab,1510007058
20151,8kx,1510000789
20151,12aa,1510007023
20151,12k,1510009964
20151,12ø,1510007007
20151,8kb,1510139809
20151,12n,1510006892
20151,12æ,1510006973
20151,8ka,1510139809
20151,12x,1510006906
20151,12z,1510006957
20151,12y,1510006930
20151,8kv,1510000789
20151,19ae,1510009891
20151,8kp,1510143261
20151,12i,1510009921
20151,19ad,1510009883
20151,12g,1510006914
20151,19gk,1510086721
20151,12h,1510009905
20151,8kq,1510143288
20151,8kr,1510143296
20151,19ac,1510009867
20151,19gh,1510009875
20151,8ec,1510000797
20151,8ko,1510140092
20151,121z,1510035256
20151,121ca,1510035213
20151,121bg,1510031064
20151,121bø,1510035213
20151,121am,1510031056
20151,121y,1510009697
20151,121bx,1510031048
20151,121bm,1510009670
20151,121v,1510009700
20151,121ai,1510031021
20151,121aø,1510009689
20151,121ak,1510031013
20151,121aæ,1510031005
20151,7000dq,0
20151,14bv,1510016669
20151,8au,1510030823
20151,14bp,1510031730
20151,14af,1510030998
20151,8dh,1510030815
20151,14c,1510030971
20151,2ao,1510000509
20151,2aq,1510009085
20151,2ax,1510009034
20151,2ar,1510009107
20151,2ay,1510009050
20151,2as,1510009123
20151,2bt,1510000312
20151,2at,1510009190
20151,2az,1510009158
20151,2ba,1510009026
20151,2bi,1510000312
20151,19gg,1510009859
20151,19ab,1510009840
20151,19aa,1510036708
20151,19ge,1510009832
20151,8it,1510139205
20151,18d,1510149826
20151,8ke,1510139892
20151,8eg,1510009824
20151,8kd,1510139892
20151,7000fe,0
20151,8ir,1510139205
20151,8ky,1510009824
20151,8eo,1510123392
20151,8hi,1510123392
20151,8lv,1510135935
20151,8en,1510123376
20151,8hk,1510123376
20151,8ob,1510030807
20151,8eu,1510133746
20151,8ev,1510133711
20151,8fv,1510133886
20151,8eb,1510000789
20151,8lx,1510135935
20151,8lu,1510135935
20151,7000ef,0
20151,8hl,1510135935
20151,8fp,1510133657
20151,8fq,1510133665
20151,8fr,1510133673
20151,8fs,1510133681
20151,8ex,1510133851
20151,7000fn,0
20151,8oc,1510030807
20151,8kæ,1510134742
20151,8gh,1510135579
20151,7000fk,0
20151,8mæ,1510149456
20151,8fo,1510133649
20151,8et,1510133762
20151,8ey,1510133843
20151,8ez,1510133835
20151,8eæ,1510133819
20151,8eø,1510133797
20151,8fa,1510133770
20151,8fb,1510133754
20151,8fc,1510133738
20151,8fd,1510133703
20151,8oa,1510030807
20151,8fø,1510135293
20151,7000gh,0
20151,8ib,1510139264
20151,8fæ,1510134874
20151,8ge,1510135412
20151,8ia,1510139264
20151,8ga,1510135307
20151,8ip,1510139264
20151,8iq,1510139264
20151,8hæ,1510136842
20151,8hr,1510136818
20151,15bf,1510018548
20151,15bi,1510018483
20151,15bl,1510026400
20151,15ba,1510027768
20151,15be,1510018564
20151,15bk,1510018505
20151,12kc,1510026427
20151,15bb,1510027741
20151,15bd,1510018580
20151,12kx,1510018521
20151,15bc,1510027725
20151,12kt,1510018491
20151,12ky,1510018556
20151,12kr,1510027709
20151,12ku,1510018610
20151,12kz,1510018572
20151,12ks,1510027687
20151,12kv,1510018637
20151,12kæ,1510018599
20151,12ld,1510027660
20151,12mh,1510018653
20151,12lf,1510027636
20151,12kø,1510018602
20151,12mn,1510027644
20151,12ml,1510019226
20151,12la,1510018629
20151,12mp,1510123228
20151,12mm,1510018661
20151,12mc,1510027628
20151,12kl,1510005128
20151,12mq,1510123236
20151,15an,1510018335
20151,15bt,1510036511
20151,15bp,1510026192
20151,15bu,1510018319
20151,15fg,1510088325
20151,15bo,1510026214
20151,15ea,1510018394
20151,15bv,1510018343
20151,15bn,1510026230
20151,15dk,1510018416
20151,15cæ,1510018351
20151,15do,1510026257
20151,15cc,1510018440
20151,15bx,1510018386
20151,15k,1510018408
20151,15cx,1510018475
20151,15dn,1510026281
20151,15cz,1510029620
20151,15fn,1510140084
20151,15ff,1510084869
20151,15dl,1510026346
20151,15bh,1510029612
20151,15aa,1510018424
20151,15ec,1510018432
20151,15dm,1510026362
20151,15aæ,1510027806
20151,15dp,1510018459
20151,15bg,1510018513
20151,15di,1510018467
20151,15bm,1510026389
20151,15aø,1510027784
20151,12me,1510043410
20151,12r,1510007015
20151,12c,1510001122
20151,12lq,1510001122
20151,12md,1510043437
20151,12s,1510007031
20151,12t,1510027504
20151,12u,1510027520
20151,12v,1510027547
20151,12am,1510027555
20151,12ma,1510027571
20151,12mb,1510027601
